Animal_ID,ANIMAL_SN,Lat,Longitude,Fix Status,X,Y,DATETIME
tn85844,tn85844_2020_SM,48.5007131,54.1400692,4 or more SV KF,268055,5376717,2020.04.05 14:00:00
tn85844,tn85844_2020_SM,48.5005033,54.1402319,4 or more SV KF,268042,5376695,2020.04.05 16:00:00
tn85844,tn85844_2020_SM,48.4994214,54.1346017,4 or more SV KF,268452,5376557,2020.04.05 20:00:00
tn85844,tn85844_2020_SM,48.4971806,54.1235108,4 or more SV KF,269261,5376275,2020.04.05 22:00:00
tn85844,tn85844_2020_SM,48.5001014,54.1231814,4 or more SV KF,269299,5376598,2020.04.06 02:00:00
tn85844,tn85844_2020_SM,48.5022081,54.1276486,4 or more SV KF,268979,5376846,2020.04.06 04:00:00
tn85844,tn85844_2020_SM,48.4939531,54.1450564,4 or more SV KF,267655,5375981,2020.04.06 08:00:00
tn85844,tn85844_2020_SM,48.4934692,54.1453144,4 or more SV KF,267634,5375928,2020.04.06 10:00:00
tn85844,tn85844_2020_SM,48.4926297,54.1480828,4 or more SV KF,267426,5375843,2020.04.06 12:00:00
tn85844,tn85844_2020_SM,48.495025,54.1539819,4 or more SV KF,267001,5376128,2020.04.06 18:00:00
tn85844,tn85844_2020_SM,48.4930219,54.1534386,4 or more SV KF,267032,5375903,2020.04.06 20:00:00
tn85844,tn85844_2020_SM,48.4954414,54.1528958,4 or more SV KF,267083,5376171,2020.04.06 22:00:00
tn85844,tn85844_2020_SM,48.4942853,54.1489647,4 or more SV KF,267368,5376030,2020.04.07 00:00:00
tn85844,tn85844_2020_SM,48.4943122,54.1490664,4 or more SV KF,267361,5376033,2020.04.07 02:00:00
tn85844,tn85844_2020_SM,48.4927544,54.1406447,4 or more SV KF,267976,5375835,2020.04.07 16:00:00
tn85844,tn85844_2020_SM,48.4946853,54.1458733,4 or more SV KF,267598,5376065,2020.04.07 20:00:00
tn85844,tn85844_2020_SM,48.4946822,54.1459111,4 or more SV KF,267595,5376065,2020.04.07 22:00:00
tn85844,tn85844_2020_SM,48.4979336,54.1474403,4 or more SV KF,267497,5376431,2020.04.08 00:00:00
tn85844,tn85844_2020_SM,48.4937694,54.1540978,4 or more SV KF,266987,5375988,2020.04.08 04:00:00
tn85844,tn85844_2020_SM,48.4939869,54.1576161,4 or more SV KF,266728,5376023,2020.04.08 08:00:00
tn85844,tn85844_2020_SM,48.496005,54.1537417,4 or more SV KF,267023,5376236,2020.04.08 12:00:00
tn85844,tn85844_2020_SM,48.4974492,54.1489481,4 or more SV KF,267384,5376382,2020.04.08 16:00:00
tn85844,tn85844_2020_SM,48.4945278,54.1491925,4 or more SV KF,267352,5376058,2020.04.08 18:00:00
